timestamp,asset,flow_lpm,conductivity_us_cm,pressure_bar
2026-01-01T07:50:00+00:00,Demo-Skid-A,11.36,361.16,2.14
2026-01-01T08:00:00+00:00,Demo-Skid-A,11.11,375.15,2.17
2026-01-01T08:10:00+00:00,Demo-Skid-A,11.48,361.0,2.25
2026-01-01T08:20:00+00:00,Demo-Skid-A,11.18,374.24,2.2
2026-01-01T08:30:00+00:00,Demo-Skid-A,11.33,374.41,2.06
2026-01-01T08:40:00+00:00,Demo-Skid-A,11.18,377.74,2.12
2026-01-01T08:50:00+00:00,Demo-Skid-A,11.18,385.19,2.13
2026-01-01T09:00:00+00:00,Demo-Skid-A,10.81,377.4,2.23
2026-01-01T09:10:00+00:00,Demo-Skid-A,10.97,376.31,2.18
2026-01-01T09:20:00+00:00,Demo-Skid-A,11.03,389.75,2.16
2026-01-01T09:30:00+00:00,Demo-Skid-A,11.17,395.04,2.13
2026-01-01T09:40:00+00:00,Demo-Skid-A,10.92,403.32,2.12
2026-01-01T09:50:00+00:00,Demo-Skid-A,10.99,394.15,2.22
2026-01-01T10:00:00+00:00,Demo-Skid-A,11.22,393.69,2.11
2026-01-01T10:10:00+00:00,Demo-Skid-A,10.81,396.76,2.21
2026-01-01T10:20:00+00:00,Demo-Skid-A,11.09,415.99,2.19
2026-01-01T10:30:00+00:00,Demo-Skid-A,11.16,400.24,2.12
2026-01-01T10:40:00+00:00,Demo-Skid-A,11.07,406.97,2.29
2026-01-01T10:50:00+00:00,Demo-Skid-A,11.19,406.94,2.21
2026-01-01T11:00:00+00:00,Demo-Skid-A,11.09,409.75,2.23
2026-01-01T11:10:00+00:00,Demo-Skid-A,11.11,422.65,2.18
2026-01-01T11:20:00+00:00,Demo-Skid-A,11.16,422.16,2.34
2026-01-01T11:30:00+00:00,Demo-Skid-A,11.63,426.3,2.33
2026-01-01T11:40:00+00:00,Demo-Skid-A,11.43,419.64,2.27
2026-01-01T11:50:00+00:00,Demo-Skid-A,11.58,429.32,2.18
2026-01-01T12:00:00+00:00,Demo-Skid-A,11.43,411.58,2.18
2026-01-01T12:10:00+00:00,Demo-Skid-A,11.51,421.21,2.35
2026-01-01T12:20:00+00:00,Demo-Skid-A,12.14,427.72,2.12
2026-01-01T12:30:00+00:00,Demo-Skid-A,11.77,408.03,2.33
2026-01-01T12:40:00+00:00,Demo-Skid-A,11.77,406.37,2.25
2026-01-01T12:50:00+00:00,Demo-Skid-A,12.4,413.6,2.07
2026-01-01T13:00:00+00:00,Demo-Skid-A,11.94,417.02,2.26
2026-01-01T13:10:00+00:00,Demo-Skid-A,12.18,417.77,2.13
2026-01-01T13:20:00+00:00,Demo-Skid-A,12.16,414.64,2.07
2026-01-01T13:30:00+00:00,Demo-Skid-A,12.37,395.96,2.24
2026-01-01T13:40:00+00:00,Demo-Skid-A,12.52,394.3,2.24
2026-01-01T13:50:00+00:00,Demo-Skid-A,12.36,405.7,2.29
2026-01-01T14:00:00+00:00,Demo-Skid-A,12.48,394.66,2.13
2026-01-01T14:10:00+00:00,Demo-Skid-A,12.76,385.71,2.11
2026-01-01T14:20:00+00:00,Demo-Skid-A,12.77,377.52,2.35
2026-01-01T14:30:00+00:00,Demo-Skid-A,13.0,377.36,2.23
2026-01-01T14:40:00+00:00,Demo-Skid-A,12.67,372.97,2.16
2026-01-01T14:50:00+00:00,Demo-Skid-A,13.04,367.95,2.33
2026-01-01T15:00:00+00:00,Demo-Skid-A,12.79,366.96,5.2
2026-01-01T15:10:00+00:00,Demo-Skid-A,13.21,369.3,2.21
2026-01-01T15:20:00+00:00,Demo-Skid-A,13.27,369.08,2.15
2026-01-01T15:30:00+00:00,Demo-Skid-A,12.81,366.77,2.24
2026-01-01T15:40:00+00:00,Demo-Skid-A,13.06,358.31,2.05
2026-01-01T15:50:00+00:00,Demo-Skid-A,13.28,366.64,2.3
2026-01-01T16:00:00+00:00,Demo-Skid-A,13.19,360.12,2.11
2026-01-01T16:10:00+00:00,Demo-Skid-A,13.25,368.64,2.07
2026-01-01T16:20:00+00:00,Demo-Skid-A,13.03,360.18,2.06
2026-01-01T16:30:00+00:00,Demo-Skid-A,12.96,363.01,2.18
2026-01-01T16:40:00+00:00,Demo-Skid-A,12.74,367.93,2.25
2026-01-01T16:50:00+00:00,Demo-Skid-A,12.71,366.33,2.32
2026-01-01T17:00:00+00:00,Demo-Skid-A,12.73,363.16,2.08
2026-01-01T17:10:00+00:00,Demo-Skid-A,12.53,369.98,2.34
2026-01-01T17:20:00+00:00,Demo-Skid-A,12.95,357.56,2.26
2026-01-01T17:30:00+00:00,Demo-Skid-A,12.56,360.81,2.32
2026-01-01T17:40:00+00:00,Demo-Skid-A,12.31,360.34,2.15
2026-01-01T17:50:00+00:00,Demo-Skid-A,12.27,369.13,2.24
2026-01-01T18:00:00+00:00,Demo-Skid-A,12.42,382.33,2.19
2026-01-01T18:10:00+00:00,Demo-Skid-A,12.12,377.78,2.06
2026-01-01T18:20:00+00:00,Demo-Skid-A,4.3,373.06,2.2
2026-01-01T18:30:00+00:00,Demo-Skid-A,12.14,391.67,2.09
2026-01-01T18:40:00+00:00,Demo-Skid-A,11.96,382.92,2.21
2026-01-01T18:50:00+00:00,Demo-Skid-A,11.94,399.3,2.33
2026-01-01T19:00:00+00:00,Demo-Skid-A,12.19,396.4,2.29
2026-01-01T19:10:00+00:00,Demo-Skid-A,11.87,390.33,2.1
2026-01-01T19:20:00+00:00,Demo-Skid-A,11.57,404.85,2.25
2026-01-01T19:30:00+00:00,Demo-Skid-A,11.4,398.45,2.07
2026-01-01T19:40:00+00:00,Demo-Skid-A,11.62,402.38,2.19
2026-01-01T19:50:00+00:00,Demo-Skid-A,11.45,406.37,2.19
2026-01-01T20:00:00+00:00,Demo-Skid-A,11.63,402.19,2.28
2026-01-01T20:10:00+00:00,Demo-Skid-A,11.44,418.92,2.1
2026-01-01T20:20:00+00:00,Demo-Skid-A,11.2,423.21,2.34
2026-01-01T20:30:00+00:00,Demo-Skid-A,11.13,414.27,2.15
2026-01-01T20:40:00+00:00,Demo-Skid-A,11.11,427.04,2.2
2026-01-01T20:50:00+00:00,Demo-Skid-A,11.12,427.15,2.24
2026-01-01T21:00:00+00:00,Demo-Skid-A,11.38,422.71,2.18
2026-01-01T21:10:00+00:00,Demo-Skid-A,10.83,419.93,2.21
2026-01-01T21:20:00+00:00,Demo-Skid-A,11.12,426.83,2.16
2026-01-01T21:30:00+00:00,Demo-Skid-A,11.06,425.91,2.33
2026-01-01T21:40:00+00:00,Demo-Skid-A,11.21,413.86,2.3
2026-01-01T21:50:00+00:00,Demo-Skid-A,11.11,413.72,2.22
2026-01-01T22:00:00+00:00,Demo-Skid-A,11.18,422.04,2.12
2026-01-01T22:10:00+00:00,Demo-Skid-A,11.0,417.32,2.1
2026-01-01T22:20:00+00:00,Demo-Skid-A,11.17,417.71,2.22
2026-01-01T22:30:00+00:00,Demo-Skid-A,11.31,405.84,2.13
2026-01-01T22:40:00+00:00,Demo-Skid-A,11.34,409.17,2.05
2026-01-01T22:50:00+00:00,Demo-Skid-A,11.05,400.35,2.3
2026-01-01T23:00:00+00:00,Demo-Skid-A,11.41,393.71,2.25
2026-01-01T23:10:00+00:00,Demo-Skid-A,11.38,390.11,2.18
2026-01-01T23:20:00+00:00,Demo-Skid-A,10.94,391.64,2.22
2026-01-01T23:30:00+00:00,Demo-Skid-A,11.4,386.72,2.25
2026-01-01T23:40:00+00:00,Demo-Skid-A,11.36,385.2,2.2
2026-01-01T23:50:00+00:00,Demo-Skid-A,11.58,390.38,2.18
2026-01-01T01:40:00+00:00,Demo-Skid-A,12.99,423.56,2.29
bad-time,Demo-Skid-A,12,400,2
2026-01-02T00:00:00+00:00,Demo-Skid-A,NaN,400,2
